algorithm,dataset,run,seed,n_selected,n_total_features,subset_accuracy,all_features_accuracy,internal_fitness,n_evaluations
pso,iris,0,0,3,4,0.9111111111111112,0.9111111111111112,0.0075,1010
pso,iris,1,1,1,4,0.9333333333333332,0.9111111111111112,0.0025,1010
pso,iris,2,2,1,4,0.9333333333333332,0.9111111111111112,0.0025,1010
pso,iris,3,3,1,4,0.9333333333333332,0.9111111111111112,0.0025,1010
pso,iris,4,4,1,4,0.9333333333333332,0.9111111111111112,0.0025,1010
pso,iris,5,5,1,4,0.9111111111111112,0.9111111111111112,0.0391666666666667,1010
pso,iris,6,6,1,4,0.9333333333333332,0.9111111111111112,0.0025,1010
pso,iris,7,7,1,4,0.9333333333333332,0.9111111111111112,0.0025,1010
pso,iris,8,8,1,4,0.9333333333333332,0.9111111111111112,0.0025,1010
pso,iris,9,9,1,4,0.9333333333333332,0.9111111111111112,0.0025,1010
aco,iris,0,0,3,4,0.9111111111111112,0.9111111111111112,0.0075,1000
aco,iris,1,1,1,4,0.9333333333333332,0.9111111111111112,0.0025,1000
aco,iris,2,2,1,4,0.9333333333333332,0.9111111111111112,0.0025,1000
aco,iris,3,3,2,4,0.9333333333333332,0.9111111111111112,0.005,1000
aco,iris,4,4,1,4,0.9333333333333332,0.9111111111111112,0.0025,1000
aco,iris,5,5,1,4,0.9333333333333332,0.9111111111111112,0.0391666666666667,1000
aco,iris,6,6,1,4,0.9333333333333332,0.9111111111111112,0.0025,1000
aco,iris,7,7,1,4,0.9333333333333332,0.9111111111111112,0.0025,1000
aco,iris,8,8,2,4,0.9333333333333332,0.9111111111111112,0.005,1000
aco,iris,9,9,1,4,0.9333333333333332,0.9111111111111112,0.0025,1000
abc,iris,0,0,3,4,0.9111111111111112,0.9111111111111112,0.0075,2046
abc,iris,1,1,1,4,0.9333333333333332,0.9111111111111112,0.0025,2045
abc,iris,2,2,1,4,0.9333333333333332,0.9111111111111112,0.0025,2043
abc,iris,3,3,1,4,0.9333333333333332,0.9111111111111112,0.0025,2044
