dataset,algorithm,mean_subset_accuracy,std_subset_accuracy,mean_all_features_accuracy,mean_n_selected,n_total_features,n_runs,accuracy_gain
breast_cancer,aco,0.9625730994152046,0.009225855412241038,0.9824561403508772,10.4,30,10,-0.019883040935672613
breast_cancer,pso,0.9625730994152046,0.007397140725540009,0.9824561403508772,13.3,30,10,-0.019883040935672613
breast_cancer,abc,0.9602339181286549,0.007188728621670801,0.9824561403508772,13.0,30,10,-0.022222222222222365
breast_cancer,cuckoo,0.9567251461988304,0.008361641555371212,0.9824561403508772,12.9,30,10,-0.025730994152046827
digits,abc,0.9653703703703703,0.008003295312771783,0.9796296296296296,43.6,64,10,-0.014259259259259305
digits,pso,0.9653703703703703,0.004705145432138198,0.9796296296296296,43.0,64,10,-0.014259259259259305
digits,cuckoo,0.9651851851851851,0.005907894377286646,0.9796296296296296,44.5,64,10,-0.014444444444444482
digits,aco,0.9614814814814814,0.00893677089918711,0.9796296296296296,38.4,64,10,-0.018148148148148247
iris,abc,0.931111111111111,0.007027283689262977,0.9111111111111112,1.2,4,10,0.019999999999999796
iris,aco,0.931111111111111,0.007027283689262977,0.9111111111111112,1.4,4,10,0.019999999999999796
iris,cuckoo,0.931111111111111,0.007027283689262977,0.9111111111111112,1.2,4,10,0.019999999999999796
iris,pso,0.9288888888888888,0.009369711585683978,0.9111111111111112,1.2,4,10,0.01777777777777756
wine,pso,0.9351851851851851,0.03409062042341741,0.9629629629629628,5.3,13,10,-0.02777777777777768
wine,aco,0.9314814814814815,0.03604642301396647,0.9629629629629628,6.0,13,10,-0.03148148148148133
wine,abc,0.9259259259259259,0.044512978709431945,0.9629629629629628,4.9,13,10,-0.03703703703703687
wine,cuckoo,0.9222222222222222,0.0443414444347357,0.9629629629629628,5.4,13,10,-0.04074074074074063
